Column1,Column2,Column3
嘘は本当かもしれないし、本当ではないかもしれない。,The rumor may or may not  be true.,16
彼らは子供時代仲良しだった,They were good friends when young.,16
コールドチキンはwサラダと一緒に食べるとおいしい,Cold chicken is delicious when eaten with salad.,16
ハンサムだったが、彼は尊敬されなかった。,"Though handsome,he was not respected.",16
誤りがあれば正せ,"Correct errors,if any.",16
必要があれば、いつでも電話してください。,call me at any time if necessary.,16
疲れたと感じたので、ビルはいつもより早く寝た。,"Feeling tired,Bill went to bed earlier than usual.",4
幸せそうに微笑みながら彼はそこに座っていた(2つ),He was sitting there smiling happily. He wa sitting there while he was smiling happily.,4
彼女は７ページを開き、そして声に出して読み始めた。(2つ）,"She opened to page7,Beginning read aloud.,She opened to page7,and she began to read aloud.",4
熱があったので彼女は買い物に出かけることができなかった。（２つ）,"Having a fever,she couldn't go shoppinng.,Because she had a fever,she couldn't go shopping.",4
その知らせを聞き、彼は部屋から飛び出していった。(２つ),"When he heard the news,he rushed out of the room,Hearing the news,he rushed out of the room.",4
もし左に曲がれば、高い建物が見つかるでしょう。(2つ),"Turning to the left there,you will find a tall building.,If you turn to the left there,you will find a tall building.",4
怒らせたくはなかったのだが、それでも彼は怒らせてしまった。(2つ),"Not wanting to give offense,he did so all the same.,Although he didn't want to give offense,he did so all the same.",4
彼女から頼りがなかったので、私は彼女が病気に違いないと思った（２つ）,"Not having heard from her,I thought she must be ill.,As I had not heard from her, I thought she must be ill.",4
その光景にショックを受けて、彼女は動くことができなかった。,"Shocked at the sight,she couldn't move.",4
ビルは彼女の死の知らせに驚いて一人立ち尽くしていた。(２つ),"Bill stood alone,surprised at the news of her death.,Bill stood alone,while he was surprised at the news of her death.]",4
そのレストランは1885年に回転され、そして１９９８年に閉店した(２つ）,"Established in 1885,the restaurant was closed in 1998.,The restaurant was estabilished in 1885,and it was closed in 1998.",4
やさしい英語で書かれているので、その本は多くの人に読まれるだろう。（２つ）,"Written in easy English,theb book will be read bu many people.As it is written in easy English, the book will be read by many people.",4
いくつか質問を尋ねられたとき、彼女は答えることができなかった。（２つ）,"Asked some questions,she was not able to answer.,When she was asked some questions,she was not able to answer.",4
もしこの家を白く塗ると、実際より大きく見えるでしょう。(2つ）,"Painted white,this house will look bigger.,If this house is painted white,it will look bigger..",4
右目の上が切れたが、ボクサーは試合を続けた。(2tu),"Cut above the right eye,the boxer continued the fight.,Though he was cut above the right eye,the boxer continued the fight.",4
冬が終わったので、雪が溶け始めた。,"The winter being over,the snow started to melt.",4
会議が終わったので、私達はおしゃべりを楽しんだ,"The meeting being over,we enjoyed having a chat.",4
すべてを考慮にいれると、その街は素敵な街だ。,"All things considered,it's a good town,",4
一般的に行って、日本人は勤勉だ,"Generally speaking,Japanese people are diligent.",4
率直にうと君の上着は気に入らない。,"Frankly speaking, I don't like your jacket.",4
彼女の表情から判断すると、とても驚いている,"Judging by the expression on her face,she is very surprised.",4
空模様からすると今夜雨が降りそうだ,"Judging from the look of the sky,it's going to rain tonight.",4
彼の病気を考慮にいれると、彼は今日学校に行くべきではない,"Taking his illness into account,he should not go to school today.",4
あらゆることを考慮にいれると、彼は良い教師と言える,"Taking all thins into consideration,he is a good teacher.",4
経験不足を考慮にいれると、彼女の演技は素晴らしかった,"Given her lack of experience,her performance was excellent.",4
彼女の年の割には若く見える,She looks young considering her age.,4
いかに少ししか勉強しなかったを考えるとスーは試験ではよく頑張ったほうだ,Sue did well in her exams considering how she studied.,4
未経験にしては、彼女はかなりよくやった,"Considering that she has no experience,she did quigte well.",4
ファーブルは80年間昆虫の研究に取り組んだ,Fabre spent 80 years studying insects.,4
北海道旅行に100万円使うつもりだ,I'm going to spent 1 milion yen traveling to hokkaido.,4
彼女は新しい靴を履いて歩くのに随分苦労した,She had great difficulty walking in her new shoes.,4
彼は最近寝付きが悪い,He has trouble falling asleep these days.,4
アルバイトの口は簡単に見つかりますよ,You will have no dificulty getting a part-time job.,4
私gたちはいちごを積むのがとても楽しかった,Wwe had a lot of fun picking berries,4
毛糸は試験勉強でこのところずっと忙しい,Kate has been busy studying for her exams,4
